source_category,src_orders_6mo,src_revenue_6mo,recommended_sku,recommended_name,recommended_price,recommended_categories,item_orders_6mo,item_units_6mo,item_revenue_6mo,llm_valid,llm_confidence,relationship_type,llm_reason
New Products,0,0,BENCH-7BLKW,Benchmade 7 Hook/Strap Cutter with MOLLE Sheath,50.0,Tools | Knives and Multi Tools,0,0,0,True,0.85,accessory,MOLLE sheath and strap cutter pair well with any MOLLE‑based gear in New Products
New Products,0,0,GO-4YH1L,Gerber Outerwear Hood for Response Parka,50.0,Apparel | Accessories,0,0,0,True,0.7,accessory,"Hood is a direct add‑on for the Response Parka, a new product"
New Products,0,0,45076,Streamlight Direct Wire 12V DC Mounting Rack for HID LiteBox,49.99,Lights/Flashlights | Hot Sales,0,0,0,True,0.8,accessory,Mounting rack provides the install hardware for the HID LiteBox
New Products,0,0,25170,Streamlight SL-20XP NiCd Battery,49.99,Lights/Flashlights | Power Equipment,0,0,0,True,0.9,accessory,"Battery is the power source for Streamlight flashlights, a common consumable"
New Products,0,0,31-002733,Gerber Order Drop Point Knife,49.99,Tools | Knives and Multi Tools,0,0,0,True,0.6,complementary,Knife is a typical companion to tactical apparel and gear
Knives and Multi Tools,0,0,BENCH-7BLKW,Benchmade 7 Hook/Strap Cutter with MOLLE Sheath,50.0,Tools | Knives and Multi Tools,0,0,0,True,0.86,accessory,Hook/strap cutter is a common accessory that pairs with knives/multi‑tools for quick cable or strap removal.
Knives and Multi Tools,0,0,GO-4YH1L,Gerber Outerwear Hood for Response Parka,50.0,Apparel | Accessories,0,0,0,False,0.71,unrelated,"Outerwear hood is apparel, not directly related to knives or multi‑tools, so unlikely to be bought together."
Knives and Multi Tools,0,0,45076,Streamlight Direct Wire 12V DC Mounting Rack for HID LiteBox,49.99,Lights/Flashlights | Hot Sales,0,0,0,False,0.74,unrelated,"Mounting rack is for lighting equipment, not an accessory for knives or multi‑tools."
Knives and Multi Tools,0,0,25170,Streamlight SL-20XP NiCd Battery,49.99,Lights/Flashlights | Power Equipment,0,0,0,False,0.68,unrelated,Battery is a consumable for Streamlight lights; it does not complement knives/multi‑tools.
Knives and Multi Tools,0,0,31-002733,Gerber Order Drop Point Knife,49.99,Tools | Knives and Multi Tools,0,0,0,True,0.82,bundle,Another knife model offers a complementary option for customers wanting multiple or varied blades.
Vehicle Compartment Matting,0,0,BENCH-7BLKW,Benchmade 7 Hook/Strap Cutter with MOLLE Sheath,50.0,Tools | Knives and Multi Tools,0,0,0,True,0.72,accessory,Strap cutter useful for installing/removing straps that may secure the matting.
