source_category,src_orders_6mo,src_revenue_6mo,recommended_sku,recommended_name,recommended_price,recommended_categories,item_orders_6mo,item_units_6mo,item_revenue_6mo,llm_valid,llm_confidence,relationship_type,llm_reason
Turnout Gear,71,72348.42,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,True,0.72,complementary,"Turnout gear buyers are structural firefighters who commonly also need a gear bag to transport and store bunker coat/pants, hood, gloves, and boots; an upgraded Wack Pack functions as practical storage/transport for the same job function rather than an unrelated add-on."
Turnout Gear,71,72348.42,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,True,0.72,complementary,"Both items are used in the same fire/rescue job function: turnout gear is structural PPE and the Channellock 87 rescue tool is a common forcible-entry/rescue hand tool often carried/used by firefighters while in turnout gear. A department purchasing turnout gear may also outfit crews with basic rescue/entry tools, though it’s not a required accessory to the PPE itself."
Helmets,54,65879.22,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,True,0.72,accessory,"A Wack Pack is typically a helmet-mounted illumination/marking accessory used by firefighters/rescue personnel. Customers buying helmets often also need compatible helmet lighting/visibility upgrades, making this a practical add-on within the same job function."
Helmets,54,65879.22,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,True,0.72,accessory,"A Wack Pack is a helmet accessory/storage/transport solution commonly used by firefighters to carry and protect their helmet and related small gear. Someone purchasing a helmet could realistically also need a way to store/transport it, making this a practical same-job-function upsell."
Helmets,54,65879.22,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,True,0.72,bundle,"A Wack Pack is a helmet accessory kit (typically containing items like helmet wedges, door chocks, webbing/strap, and other small forcible-entry/rescue aids) commonly carried by firefighters on or with their helmet. Customers buying helmets—especially for fire/rescue—often also need a way to outfit the helmet with these tools, making this a practical upsell."
Helmets,54,65879.22,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,True,0.72,complementary,"In fire/rescue and some technical rescue contexts, helmets are standard PPE and a rescue tool like the Channellock 87 is commonly carried/used on the same calls (extrication, forcible entry, rescue operations). It’s not a direct accessory to the helmet, but it is complementary within the same job function."
Helmets,54,65879.22,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,True,0.72,complementary,"In fire/rescue and some industrial rescue contexts, helmets are standard PPE and a rescue tool like the Channellock 87 is commonly carried/used during extrication, forcible entry, and rescue operations. Not a direct accessory to the helmet, but it fits the same job function and can be part of the same response kit."
Helmets,54,65879.22,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,True,0.72,complementary,"In fire/rescue operations, helmets and rescue/extrication tools are commonly used in the same job function and often deployed together on scenes. While the rescue tool is not an accessory to the helmet, a department purchasing helmets may also be equipping crews with basic forcible entry/rescue tools, making this a practical complementary cross-sell (though not universally needed for every helmet buyer)."
Helmets by Brand,52,63716.64,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,True,0.62,complementary,"Helmets (especially fire/rescue) and a rescue/extrication hand tool can be used within the same fire/rescue job function, and departments often procure PPE and basic rescue tools together. However, it’s not a direct accessory to a helmet and may be less relevant if the helmet purchase is for non-rescue use (e.g., industrial hard hats)."
Helmets by Style,46,56854.1,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,True,0.72,accessory,"A Wack Pack is a helmet accessory used to add reflective/identification markings and visibility, which is commonly purchased alongside fire/rescue helmets. Customers selecting helmets by style may also need an upgraded marking/visibility kit to complete the helmet setup."
